date	total_ridership	alert_count	affected_riders
2023-04-24	3602020	105	1116935
2023-04-25	4000364	124	1453616
2023-04-26	4040569	145	1592928
2023-04-27	4049449	132	1763574
2023-04-28	3761479	142	1672450
2023-04-29	2217888	116	884882
2023-04-30	1760341	142	743773
2023-05-01	3707238	167	1662877
2023-05-02	4008441	152	1551912
2023-05-03	4078197	102	1685534
2023-05-04	4036723	154	1961215
2023-05-05	3829172	130	1461968
2023-05-06	2604265	129	1155804
2023-05-07	2049619	88	697897
2023-05-08	3607803	120	1508662
2023-05-09	3972577	106	1366827
2023-05-10	4063661	175	2018086
2023-05-11	4070228	130	1754535
2023-05-12	3789643	177	1531736
2023-05-13	2524852	136	1018270
2023-05-14	1943077	103	600482
2023-05-15	3596104	115	1183022
2023-05-16	4049238	152	1859070
2023-05-17	4155115	162	2053447
2023-05-18	4133887	113	1606695
2023-05-19	3854861	116	1585587
2023-05-20	2350490	100	900970
2023-05-21	2149137	84	672766
2023-05-22	3614147	101	1278677
2023-05-23	3975715	141	1751776
2023-05-24	4008376	155	1959514
2023-05-25	3914145	132	1449490
2023-05-26	3559914	142	1726026
2023-05-27	2414001	153	1121136
2023-05-28	2056181	84	578674
2023-05-29	1981128	88	554676
2023-05-30	3759695	141	1675095
2023-05-31	3959995	158	1751276
2023-06-01	3946975	145	1882022
2023-06-02	3690877	111	1538654
2023-06-03	2448778	105	855141
2023-06-04	2005428	99	668794
2023-06-05	3588488	127	1443596
2023-06-06	3978703	131	1576614
2023-06-07	3790995	128	1615203
2023-06-08	3323218	145	1364313
2023-06-09	3494654	141	1398020
2023-06-10	2654985	06	688981
2023-06-11	2097047	83	601975
2023-06-12	3521837	134	1310259
2023-06-13	4017420	150	1664820
2023-06-14	3944339	164	1881333
2023-06-15	3984906	123	1678069
2023-06-16	3476982	119	1318436
2023-06-17	2542099	127	1059725
2023-06-18	2000552	122	667627
2023-06-19	2674035	98	708548
2023-06-20	3835774	150	1489197
2023-06-21	3959635	142	1425730
2023-06-22	3848452	162	1680006
2023-06-23	3540700	115	1059773
2023-06-24	2513693	110	908183
2023-06-25	2246031	119	835221
2023-06-26	3386907	118	816395
2023-06-27	3794531	147	1658590
2023-06-28	3691372	142	1518513
2023-06-29	3712236	103	1099114
2023-06-30	3328885	100	1168198
2023-07-01	2279847	89	668921
2023-07-02	1810433	99	592263
2023-07-03	2713416	143	1314763
2023-07-04	1839593	99	648152
2023-07-05	3370620	124	1469843
2023-07-06	3554074	161	1832600
2023-07-07	3361124	119	1347208
2023-07-08	2349252	156	1099158
2023-07-09	1795778	91	656169
2023-07-10	3266708	175	1560254
2023-07-11	3699231	119	1407176
2023-07-12	3750391	199	2059741
2023-07-13	3705177	186	1828092
2023-07-14	3319057	125	1473363
2023-07-15	2365658	114	909600T
2023-07-16	1623527	97	662324
2023-07-17	3332363	151	1577818
2023-07-18	3638504	140	1226016
2023-07-19	3734351	154	1625482
2023-07-20	3771279	107	1512879
2023-07-21	3406899	125	1369323
2023-07-22	2503959	87	878113
2023-07-23	2007463	98	640031
2023-07-24	3303576	94	1221948
2023-07-25	3684669	120	1588627
2023-07-26	3814328	164	1857594
2023-07-27	3634924	128	1524015
2023-07-28	3335091	163	1831824
2023-07-29	2297169	117	830817
2023-07-30	1976365	93	636619
2023-07-31	3254722	94	1102506
2023-08-01	3653789	150	1537072
2023-08-02	3696564	129	1832674
2023-08-03	3666077	132	1238904
2023-08-04	3297866	136	1568460
2023-08-05	2404500	95	762217
2023-08-06	1933854	74	483412
2023-08-07	3087489	117	1191275
2023-08-08	3563145	117	1369370
2023-08-09	3668212	116	1330187
2023-08-10	3484576	92	1121028
2023-08-11	3385141	121	1408366
2023-08-12	2408289	06	693639
2023-08-13	1976694	116	739795
2023-08-14	3140631	97	1199695
2023-08-15	3439887	119	1487189
2023-08-16	3501936	136	1686989
2023-08-17	3441624	118	1352366
2023-08-18	3251455	130	1661465
2023-08-19	2398229	114	1003045
2023-08-20	1892719	92	634558
2023-08-21	3018112	114	1197171
2023-08-22	3405306	120	1394603
2023-08-23	3468053	148	1596327
2023-08-24	3352470	94	1018157
2023-08-25	3099065	130	1201340
2023-08-26	2321628	76	679687
2023-08-27	1931608	86	544904
2023-08-28	3172631	108	1112702
2023-08-29	3453011	128	1275689
2023-08-30	3518789	120	1541833
2023-08-31	3510404	109	1258999
2023-09-01	3265807	06	936531
2023-09-02	2354622	103	844823
2023-09-03	2048409	83	789541
2023-09-04	1915409	79	493157
2023-09-05	3536512	132	1796003
2023-09-06	3767720	155	1858954
2023-09-07	3924910	124	1513389
2023-09-08	3678579	129	1569086
2023-09-09	2472531	107	1019667
2023-09-10	1856241	103	586919
2023-09-11	3644149	113	1501097
2023-09-12	4065497	132	1931731
2023-09-13	3990759	151	1654546
2023-09-14	4101431	115	1557258
2023-09-15	3768015	109	1388691
2023-09-16	2487768	72	819793
2023-09-17	2007220	87	568989
2023-09-18	3585499	113	1362099
2023-09-19	4191617	156	1945393
2023-09-20	4234474	125	1452403
2023-09-21	4195842	123	1878258
2023-09-22	3920840	116	1486634
2023-09-23	2163956	129	916374
2023-09-24	1727268	89	628110
2023-09-25	2938424	127	1125841
2023-09-26	4010158	128	1824444
2023-09-27	4140745	122	1722489
2023-09-28	4116872	117	1483907
2023-09-29	2527813	199	1510682
2023-09-30	2260259	06	750188
2023-10-01	2027836	133	689906
2023-10-02	3708845	117	1345244
2023-10-03	4068384	144	1732565
2023-10-04	4091514	102	1265548
2023-10-05	4098910	122	1624886
2023-10-06	3718057	152	1631395
2023-10-07	2267700	92	696968
2023-10-08	2078565	06	655117
2023-10-09	2888204	140	1211006
2023-10-10	4014577	178	2083914
2023-10-11	4119563	125	1808901
2023-10-12	4172498	139	1872878
2023-10-13	3642360	131	1617782
2023-10-14	2270403	114	898105
2023-10-15	2042468	86	392569
2023-10-16	3716939	126	1348760
2023-10-17	4083670	128	1694784
2023-10-18	4138749	103	1524651
2023-10-19	4192499	108	1651978
2023-10-20	3693529	100	1293986
2023-10-21	2495913	116	948753
2023-10-22	2011923	104	676321
2023-10-23	3722996	121	1156276
2023-10-24	4101528	152	1782706
2023-10-25	4185030	115	1720112
2023-10-26	4212613	170	1967794
2023-10-27	3941055	143	1899887
2023-10-28	2813687	126	1214904
2023-10-29	1863531	104	561272
2023-10-30	3696589	106	1252725
2023-10-31	4084043	125	2024653
2023-11-01	4104113	180	2066274
2023-11-02	4148116	119	1406358
2023-11-03	3888132	111	1488957
2023-11-04	2639441	123	1242101
2023-11-05	2337151	97	794904
2023-11-06	3743916	147	1803498
2023-11-07	3714027	130	1439276
2023-11-08	4127663	125	1128177
2023-11-09	4086816	128	1845707
2023-11-10	3688106	131	1383807
2023-11-11	2648726	143	1036186
2023-11-12	1976997	97	648527
2023-11-13	3651953	93	1161934
2023-11-14	4053367	111	1534709
2023-11-15	4101652	126	1472106
2023-11-16	4119611	122	1715772
2023-11-17	3824509	173	1694640
2023-11-18	2533943	121	1186435
2023-11-19	1975142	06	527703
2023-11-20	3704824	93	1405920
2023-11-21	3837158	130	1664970
2023-11-22	3442388	148	1561144
2023-11-23	1667832	88	454013
2023-11-24	2508673	145	985797
2023-11-25	2170975	114	1016331
2023-11-26	1715913	113	679754
2023-11-27	3579354	141	1584775
2023-11-28	3976851	134	1799118
2023-11-29	4095330	184	1858988
2023-11-30	4141204	157	1675533
2023-12-01	3826027	140	1852195
2023-12-02	2828843	85	948422
2023-12-03	1874999	75	541435
2023-12-04	3781952	104	1290196
2023-12-05	4150067	134	1772959
2023-12-06	4192638	142	1545025
2023-12-07	4169596	128	1977914
2023-12-08	3969874	103	1511891
2023-12-09	2987831	125	1108263
2023-12-10	1888107	108	713863
2023-12-11	3702476	134	1723541
2023-12-12	4114624	140	1827193
2023-12-13	4133538	160	1745283
2023-12-14	4200148	166	1637799
2023-12-15	3934564	151	1584515
2023-12-16	2932563	06	1018265
2023-12-17	1985412	112	859851
2023-12-18	3373827	168	1622689
2023-12-19	3977512	179	1736169
2023-12-20	3902814	138	1506039
2023-12-21	3745055	155	1661583
2023-12-22	3438706	185	1565173
2023-12-23	2287834	150	916451
2023-12-24	1691030	97	515658
2023-12-25	1306508	65	337561
2023-12-26	2726335	140	1148925
2023-12-27	2972081	137	1114991
2023-12-28	3129195	149	1369980
2023-12-29	3269340	162	1492548
2023-12-30	2491288	101	687629
2023-12-31	2025748	88	715769
2024-01-01	1673441	127	664534
2024-01-02	3336259	159	1369381
2024-01-03	3604230	173	1344509
2024-01-04	3612377	206	1310883
2024-01-05	3322476	212	1599331
2024-01-06	1976399	133	606331
2024-01-07	1494838	118	558229
2024-01-08	3349689	162	1381262
2024-01-09	3398021	151	1492839
2024-01-10	3609810	199	1709136
2024-01-11	3744153	199	1988791
2024-01-12	3427712	161	1720658
2024-01-13	2206511	112	727101
2024-01-14	1767107	84	507509
2024-01-15	2204936	130	980168
2024-01-16	3285775	186	1424100
2024-01-17	3665673	194	1625595
2024-01-18	3716313	187	1941537
2024-01-19	3240771	128	1141286
2024-01-20	2060289	96	673240
2024-01-21	1594852	80	407461
2024-01-22	3352617	184	1742862
2024-01-23	3705412	174	1969340
2024-01-24	3718021	167	1616130
2024-01-25	3745081	204	1597059
2024-01-26	3460612	174	1784206
2024-01-27	2338483	104	824730
2024-01-28	1579834	98	480665
2024-01-29	3356148	114	1323830
2024-01-30	3778460	187	1725304
2024-01-31	3871622	155	1580826
2024-02-01	3882862	187	1987549
2024-02-02	3536042	168	1649611
2024-02-03	2376683	137	888560
2024-02-04	1771625	119	670677
2024-02-05	3537003	151	1533704
2024-02-06	3916823	208	1968756
2024-02-07	3962863	166	1912151
2024-02-08	3969808	167	1523096
2024-02-09	3627454	152	1501131
2024-02-10	2440728	94	823352
2024-02-11	1810688	103	538676
2024-02-12	3431028	180	1715952
2024-02-13	2335063	183	1114402
2024-02-14	4029292	143	1394693
2024-02-15	3941284	144	1755004
2024-02-16	3579137	128	1212079
2024-02-17	2230001	99	673592
2024-02-18	1883422	113	604425
2024-02-19	2283307	102	841690
2024-02-20	3552633	167	1878139
2024-02-21	3654766	192	1794108
2024-02-22	3654932	184	1478745
2024-02-23	3298141	152	1250357
2024-02-24	2361414	80	583420
